det(VALLEY-3, THE-1)
pobj(under-38, it-39)

advmod(thanked-4, Then-1)
det(Prince-3, the-2)
nsubj(thanked-4, Prince-3)
root(ROOT-0, thanked-4)
det(fish-7, the-5)
amod(fish-7, flying-6)
dobj(thanked-4, fish-7)
cc(thanked-4, and-8)
conj(thanked-4, sent-9)
dobj(sent-9, it-10)
prt(sent-9, back-11)
prep(sent-9, to-12)
det(river-14, the-13)
pobj(to-12, river-14)
cc(thanked-4, and-16)
det(King-18, the-17)
nsubj(took-29, King-18)
aux(put-22, having-20)
advmod(put-22, first-21)
vmod(took-29, put-22)
det(plaster-24, a-23)
dobj(put-22, plaster-24)
prep(plaster-24, over-25)
poss(nose-27, his-26)
pobj(over-25, nose-27)
conj(thanked-4, took-29)
det(apple-31, the-30)
dobj(took-29, apple-31)
cc(took-29, and-32)
conj(took-29, started-33)
prep(started-33, for-34)
det(Lake-37, the-35)
nn(Lake-37, Crystal-36)
pobj(for-34, Lake-37)
prep(took-29, followed-39)
pcomp(followed-39, by-40)
predet(people-43, all-41)
poss(people-43, his-42)
pobj(by-40, people-43)

cc(refused-22, But-1)
advmod(fastened-6, when-2)
det(apple-4, the-3)
nsubjpass(fastened-6, apple-4)
auxpass(fastened-6, was-5)
advcl(refused-22, fastened-6)
prep(fastened-6, to-7)
det(fish-line-9, the-8)
pobj(to-7, fish-line-9)
cc(fastened-6, and-10)
conj(fastened-6, let-11)
prt(let-11, down-12)
prep(let-11, through-13)
det(syrup-15, the-14)
pobj(through-13, syrup-15)
prep(let-11, to-16)
det(chamberlain-19, the-17)
amod(chamberlain-19, royal-18)
pobj(to-16, chamberlain-19)
nsubj(refused-22, Nuphsed-21)
root(ROOT-0, refused-22)
aux(touch-24, to-23)
xcomp(refused-22, touch-24)
dobj(touch-24, it-25)

nsubj(like-5, He-2)
aux(like-5, does-3)
neg(like-5, n't-4)
ccomp(said-9, like-5)
dobj(like-5, it-6)
root(ROOT-0, said-9)
det(King-11, the-10)
dobj(said-9, King-11)
prep(said-9, with-13)
det(sigh-15, a-14)
pobj(with-13, sigh-15)
cc(went-19, and-17)
nsubj(went-19, he-18)
parataxis(said-9, went-19)
advmod(went-19, again-20)
prep(went-19, to-21)
det(Donkey-24, the-22)
nn(Donkey-24, Wise-23)
pobj(to-21, Donkey-24)

csubj(want-5, Did-2)
neg(Did-2, n't-3)
dobj(Did-2, he-4)
root(ROOT-0, want-5)
det(apple-7, the-6)
dobj(want-5, apple-7)

root(ROOT-0, asked-1)
det(donkey-3, the-2)
dobj(asked-1, donkey-3)
advmod(surprised-7, as-5)
mark(surprised-7, if-6)
advcl(asked-1, surprised-7)

cc(know-4, But-1)
nsubj(know-4, you-2)
aux(know-4, must-3)
root(ROOT-0, know-4)
nsubjpass(surprised-8, he-5)
auxpass(surprised-8, was-6)
neg(surprised-8, not-7)
ccomp(know-4, surprised-8)
advmod(surprised-8, at-9)
pobj(at-9, all-10)
mark(planned-15, as-12)
nsubj(planned-15, he-13)
aux(planned-15, had-14)
advcl(surprised-8, planned-15)
aux(get-17, to-16)
xcomp(planned-15, get-17)
det(apple-19, the-18)
dobj(get-17, apple-19)
prep(apple-19, for-20)
pobj(for-20, himself-21)

discourse(indeed-4, No-2)
dep(replied-7, indeed-4)
root(ROOT-0, replied-7)
det(King-9, the-8)
dep(replied-7, King-9)

nsubj(had-3, We-2)
root(ROOT-0, had-3)
det(job-6, an-4)
amod(job-6, awful-5)
dobj(had-3, job-6)
aux(find-8, to-7)
vmod(job-6, find-8)
det(apple-10, the-9)
dobj(find-8, apple-10)
advmod(had-3, too-12)

advmod(is-3, Where-2)
root(ROOT-0, is-3)
nsubj(is-3, it-4)

root(ROOT-0, inquired-1)
det(donkey-3, the-2)
dobj(inquired-1, donkey-3)

dep(said-5, Here-2)
root(ROOT-0, said-5)
det(King-7, the-6)
nsubj(said-5, King-7)
vmod(said-5, taking-9)
dobj(taking-9, it-10)
prt(taking-9, out-11)
prep(taking-9, of-12)
poss(pocket-14, his-13)
pobj(of-12, pocket-14)

det(donkey-2, The-1)
nsubj(took-3, donkey-2)
root(ROOT-0, took-3)
det(apple-5, the-4)
dobj(took-3, apple-5)
conj(took-3, looked-7)
prep(looked-7, at-8)
pobj(at-8, it-9)
advmod(for-11, thoughtfully-10)
prep(looked-7, for-11)
det(moment-13, a-12)
pobj(for-11, moment-13)
cc(took-3, and-15)
advmod(ate-17, then-16)
conj(took-3, ate-17)
dobj(ate-17, it-18)
prt(ate-17, up-19)
cc(ate-17, and-20)
conj(ate-17, smacked-21)
poss(lips-23, his-22)
dobj(smacked-21, lips-23)
mark(fond-29, for-25)
nsubjpass(fond-29, he-26)
auxpass(fond-29, was-27)
advmod(fond-29, especially-28)
advcl(took-3, fond-29)
prep(fond-29, of-30)
amod(apples-32, red-31)
pobj(of-30, apples-32)

dobj(do-5, What-2)
aux(do-5, shall-3)
nsubj(do-5, we-4)
root(ROOT-0, do-5)
advmod(do-5, now-6)

root(ROOT-0, asked-1)
det(King-3, the-2)
dobj(asked-1, King-3)

nsubj(believe-3, I-2)
root(ROOT-0, believe-3)
det(Nuphsed-6, the-4)
nn(Nuphsed-6, thing-5)
nsubj(likes-7, Nuphsed-6)
ccomp(believe-3, likes-7)
nsubj(word-12, best-8)
cop(word-12, is-9)
det(word-12, a-10)
nn(word-12, kind-11)
ccomp(likes-7, word-12)

root(ROOT-0, Bait-1)
det(line-3, the-2)
dobj(Bait-1, line-3)
prep(Bait-1, with-4)
pobj(with-4, that-5)
cc(Bait-1, and-7)
nsubj(catch-10, you-8)
aux(catch-10, may-9)
conj(Bait-1, catch-10)
dobj(catch-10, him-11)

dep(went-4, So-1)
det(King-3, the-2)
nsubj(went-4, King-3)
root(ROOT-0, went-4)
advmod(went-4, again-5)
prep(went-4, to-6)
det(lake-8, the-7)
pobj(to-6, lake-8)
cc(went-4, and-10)
aux(put-12, having-11)
conj(went-4, put-12)
det(word-15, a-13)
nn(word-15, kind-14)
dobj(put-12, word-15)
prep(put-12, on-16)
det(fish-line-18, the-17)
pobj(on-16, fish-line-18)
advmod(succeeded-20, quickly-19)
vmod(fish-line-18, succeeded-20)
prep(succeeded-20, in-21)
pcomp(in-21, bringing-22)
det(chamberlain-25, the-23)
amod(chamberlain-25, royal-24)
dobj(bringing-22, chamberlain-25)
prep(bringing-22, to-26)
det(shore-28, the-27)
pobj(to-26, shore-28)
prep(shore-28, in-29)
pobj(in-29, safety-30)

nsubj(imagine-4, You-1)
aux(imagine-4, can-2)
advmod(imagine-4, well-3)
root(ROOT-0, imagine-4)
nn(Nuphsed-6, poor-5)
nsubj(glad-8, Nuphsed-6)
cop(glad-8, was-7)
ccomp(imagine-4, glad-8)
advmod(glad-8, enough-9)
aux(be-11, to-10)
xcomp(glad-8, be-11)
prep(be-11, on-12)
amod(land-14, dry-13)
pobj(on-12, land-14)
prep(be-11, after-15)
poss(immersion-18, his-16)
amod(immersion-18, long-17)
pobj(after-15, immersion-18)
prep(immersion-18, in-19)
det(sugar-syrup-21, the-20)
pobj(in-19, sugar-syrup-21)

cc(put-15, And-1)
advmod(rescued-7, now-2)
mark(rescued-7, that-3)
nsubjpass(rescued-7, all-4)
aux(rescued-7, had-5)
auxpass(rescued-7, been-6)
advcl(put-15, rescued-7)
prep(rescued-7, from-8)
det(Lake-11, the-9)
nn(Lake-11, Crystal-10)
pobj(from-8, Lake-11)
det(King-14, the-13)
nsubj(put-15, King-14)
root(ROOT-0, put-15)
det(rope-17, a-16)
dobj(put-15, rope-17)
prep(put-15, around-18)
det(crust-21, the-19)
amod(crust-21, broken-20)
pobj(around-18, crust-21)
cc(put-15, and-22)
conj(put-15, stuck-23)
prt(stuck-23, up-24)
det(sign-26, a-25)
dobj(stuck-23, sign-26)
nsubj(said-28, that-27)
rcmod(sign-26, said-28)
dep(said-28, Danger-30)

root(ROOT-0, so-1)
mark(fall-7, that-2)
neg(one-4, no-3)
nsubj(fall-7, one-4)
advmod(one-4, else-5)
aux(fall-7, would-6)
dep(so-1, fall-7)
prt(fall-7, in-8)

dep(ended-19, After-1)
mark(began-5, that-2)
det(festivities-4, the-3)
nsubj(began-5, festivities-4)
pcomp(After-1, began-5)
advmod(began-5, again-6)
cc(began-5, and-8)
mark(were-11, as-9)
expl(were-11, there-10)
conj(began-5, were-11)
neg(accidents-14, no-12)
amod(accidents-14, further-13)
nsubj(were-11, accidents-14)
det(King-16, the-15)
poss(birthday-18, King-16)
possessive(King-16, 's-17)
nsubj(ended-19, birthday-18)
root(ROOT-0, ended-19)
advmod(happily-21, very-20)
acomp(ended-19, happily-21)

dep(reigned-24, _-1)
det(SCOWLEYOW-7, The-2)
nn(SCOWLEYOW-7, Sixth-3)
nn(SCOWLEYOW-7, Surprise-4)
nn(SCOWLEYOW-7, _-5)
nn(SCOWLEYOW-7, KING-6)
dobj(_-1, SCOWLEYOW-7)
cc(SCOWLEYOW-7, AND-8)
conj(SCOWLEYOW-7, HIS-9)
nn(MAN-11, CAST-IRON-10)
nsubj(reigned-24, MAN-11)
prep(reigned-24, Across-12)
det(mountains-14, the-13)
pobj(Across-12, mountains-14)
prep(mountains-14, at-15)
det(north-17, the-16)
pobj(at-15, north-17)
prep(north-17, of-18)
det(Valley-20, the-19)
pobj(of-18, Valley-20)
prep(Valley-20, of-21)
pobj(of-21, Mo-22)
advmod(reigned-24, there-23)
root(ROOT-0, reigned-24)
det(King-27, a-25)
amod(King-27, wicked-26)
dobj(reigned-24, King-27)
vmod(King-27, named-28)
dobj(named-28, Scowleyow-29)
poss(people-32, whose-31)
nsubj(lived-33, people-32)
rcmod(Scowleyow-29, lived-33)
prep(lived-33, in-34)
pobj(in-34, caves-35)
cc(caves-35, and-36)
conj(caves-35, mines-37)
cc(lived-33, and-38)
conj(lived-33, dug-39)
dobj(dug-39, iron-40)
cc(iron-40, and-41)
conj(iron-40, tin-42)
prt(dug-39, out-43)
prep(dug-39, of-44)
det(rocks-46, the-45)
pobj(of-44, rocks-46)
cc(reigned-24, and-47)
conj(reigned-24, melted-48)
dobj(melted-48, them-49)
prep(melted-48, into-50)
pobj(into-50, bars-51)

nsubj(bars-2, These-1)
root(ROOT-0, bars-2)
nsubj(carried-5, they-3)
advmod(carried-5, then-4)
ccomp(bars-2, carried-5)
prt(carried-5, away-6)
cc(carried-5, and-7)
conj(carried-5, sold-8)
prep(sold-8, for-9)
pobj(for-9, money-10)

nn(Scowleyow-2, King-1)
nsubj(hated-3, Scowleyow-2)
root(ROOT-0, hated-3)
det(Monarch-5, the-4)
dobj(hated-3, Monarch-5)
prep(Monarch-5, of-6)
pobj(of-6, Mo-7)
cc(Monarch-5, and-8)
conj(Monarch-5, all-9)
poss(people-11, his-10)
dep(all-9, people-11)
mark(lived-15, because-13)
nsubj(lived-15, they-14)
advcl(hated-3, lived-15)
advmod(lived-15, so-16)
advmod(lived-15, happily-17)
cc(hated-3, and-18)
conj(hated-3, cared-19)
dobj(cared-19, nothing-20)
prep(cared-19, for-21)
pobj(for-21, money-22)
cc(hated-3, and-24)
nsubj(sent-28, he-25)
aux(sent-28, would-26)
aux(sent-28, have-27)
conj(hated-3, sent-28)
poss(army-30, his-29)
dobj(sent-28, army-30)
prep(sent-28, into-31)
det(Valley-33, the-32)
pobj(into-31, Valley-33)
aux(destroy-35, to-34)
vmod(sent-28, destroy-35)
det(people-38, the-36)
amod(people-38, merry-37)
dobj(destroy-35, people-38)
nsubj(dwelt-40, who-39)
rcmod(people-38, dwelt-40)
expl(afraid-46, there-41)
aux(afraid-46, had-42)
dobj(afraid-46, he-43)
neg(afraid-46, not-44)
cop(afraid-46, been-45)
ccomp(dwelt-40, afraid-46)
prep(afraid-46, of-47)
det(swords-50, the-48)
amod(swords-50, sharp-49)
pobj(of-47, swords-50)
nsubj(grew-52, that-51)
rcmod(swords-50, grew-52)
prep(grew-52, on-53)
poss(trees-55, their-54)
pobj(on-53, trees-55)
dobj(knew-59, which-57)
nsubj(knew-59, they-58)
rcmod(trees-55, knew-59)
advmod(well-61, so-60)
advmod(knew-59, well-61)
advmod(use-64, how-62)
aux(use-64, to-63)
ccomp(knew-59, use-64)
prep(use-64, against-65)
poss(foes-67, their-66)
pobj(against-65, foes-67)

cc(pondered-4, So-1)
nn(Scowleyow-3, King-2)
nsubj(pondered-4, Scowleyow-3)
root(ROOT-0, pondered-4)
prep(pondered-4, for-5)
det(time-8, a-6)
amod(time-8, long-7)
pobj(for-5, time-8)
advmod(destroy-11, how-9)
aux(destroy-11, to-10)
ccomp(pondered-4, destroy-11)
det(Valley-13, the-12)
dobj(destroy-11, Valley-13)
prep(Valley-13, of-14)
pobj(of-14, Mo-15)
prep(destroy-11, without-16)
pcomp(without-16, getting-17)
dep(getting-17, hurt-18)
dobj(getting-17, himself-19)
cc(pondered-4, and-21)
advmod(pondered-4, at-22)
advmod(at-22, last-23)
nsubj(hit-25, he-24)
ccomp(pondered-4, hit-25)
prep(hit-25, on-26)
det(plan-28, a-27)
pobj(on-26, plan-28)
nsubj(believed-30, he-29)
rcmod(plan-28, believed-30)
aux(succeed-32, would-31)
ccomp(believed-30, succeed-32)

nsubj(put-2, He-1)
root(ROOT-0, put-2)
predet(mechanics-5, all-3)
poss(mechanics-5, his-4)
dobj(put-2, mechanics-5)
aux(work-7, to-6)
vmod(put-2, work-7)
cc(put-2, and-8)
conj(put-2, built-9)
det(man-12, a-10)
amod(man-12, great-11)
dobj(built-9, man-12)
prt(built-9, out-13)
prep(built-9, of-14)
pobj(of-14, cast-iron-15)
prep(built-9, with-17)
nn(inside-19, machinery-18)
pobj(with-17, inside-19)
prep(inside-19, of-20)
pobj(of-20, him-21)

advmod(wound-4, When-1)
nsubjpass(wound-4, he-2)
auxpass(wound-4, was-3)
advcl(roar-10, wound-4)
prt(wound-4, up-5)
det(Man-8, the-6)
amod(Man-8, Cast-iron-7)
dobj(wound-4, Man-8)
aux(roar-10, could-9)
root(ROOT-0, roar-10)
cc(roar-10, and-12)
conj(roar-10, roll-13)
poss(eyes-15, his-14)
dobj(roll-13, eyes-15)
cc(roar-10, and-17)
conj(roar-10, gnash-18)
poss(teeth-20, his-19)
dobj(gnash-18, teeth-20)
cc(gnash-18, and-21)
conj(gnash-18, march-22)
prep(march-22, across-23)
det(Valley-25, the-24)
pobj(across-23, Valley-25)
xcomp(march-22, crushing-27)
dobj(crushing-27, trees-28)
cc(trees-28, and-29)
conj(trees-28, houses-30)
prep(crushing-27, to-31)
det(earth-33, the-32)
pobj(to-31, earth-33)
mark(went-36, as-34)
nsubj(went-36, he-35)
advcl(crushing-27, went-36)

dep(tall-7, For-1)
det(Man-4, the-2)
amod(Man-4, Cast-iron-3)
nsubj(tall-7, Man-4)
cop(tall-7, was-5)
advmod(tall-7, as-6)
root(ROOT-0, tall-7)
prep(tall-7, as-8)
det(church-10, a-9)
pobj(as-8, church-10)
cc(tall-7, and-11)
advmod(heavy-13, as-12)
conj(tall-7, heavy-13)
mark(make-17, as-14)
nsubj(make-17, iron-15)
aux(make-17, could-16)
advcl(tall-7, make-17)
dobj(make-17, him-18)
cc(tall-7, and-20)
nsubj(big-27, each-21)
prep(each-21, of-22)
poss(feet-24, his-23)
pobj(of-22, feet-24)
cop(big-27, was-25)
advmod(big-27, as-26)
conj(tall-7, big-27)
prep(big-27, as-28)
det(barn-30, a-29)
pobj(as-28, barn-30)

nsubj(took-2, It-1)
root(ROOT-0, took-2)
det(time-5, a-3)
amod(time-5, long-4)
dobj(took-2, time-5)
aux(build-7, to-6)
vmod(took-2, build-7)
det(man-9, this-8)
dobj(build-7, man-9)
mark(suppose-14, as-11)
nsubj(suppose-14, you-12)
aux(suppose-14, may-13)
advcl(took-2, suppose-14)
cc(took-2, but-16)
nn(Scowleyow-18, King-17)
nsubjpass(determined-21, Scowleyow-18)
auxpass(determined-21, was-19)
advmod(determined-21, so-20)
conj(took-2, determined-21)
aux(ruin-23, to-22)
xcomp(determined-21, ruin-23)
det(Valley-26, the-24)
amod(Valley-26, pretty-25)
dobj(ruin-23, Valley-26)
prep(Valley-26, of-27)
pobj(of-27, Mo-28)
mark(made-31, that-29)
nsubj(made-31, he-30)
ccomp(determined-21, made-31)
poss(work-34, his-32)
nn(work-34, men-33)
dobj(made-31, work-34)
tmod(made-31, night-35)
cc(night-35, and-36)
conj(night-35, day-37)
cc(took-2, and-39)
prep(ready-46, at-40)
pobj(at-40, last-41)
det(Man-44, the-42)
amod(Man-44, Cast-iron-43)
nsubj(ready-46, Man-44)
cop(ready-46, was-45)
conj(took-2, ready-46)
aux(wound-49, to-47)
auxpass(wound-49, be-48)
xcomp(ready-46, wound-49)
prt(wound-49, up-50)
cc(wound-49, and-51)
conj(wound-49, sent-52)
prep(sent-52, on-53)
poss(journey-55, his-54)
pobj(on-53, journey-55)
prep(journey-55, of-56)
pobj(of-56, destruction-57)

nsubj(stood-2, They-1)
root(ROOT-0, stood-2)
dobj(stood-2, him-3)
prep(stood-2, on-4)
det(top-6, the-5)
pobj(on-4, top-6)
prep(top-6, of-7)
det(mountain-9, the-8)
pobj(of-7, mountain-9)
prep(stood-2, with-11)
poss(face-13, his-12)
pobj(with-11, face-13)
prep(stood-2, toward-14)
det(Valley-17, the-15)
nn(Valley-17, Beautiful-16)
pobj(toward-14, Valley-17)
cc(stood-2, and-19)
conj(stood-2, began-20)
aux(wind-22, to-21)
xcomp(began-20, wind-22)
dobj(wind-22, him-23)
prt(wind-22, up-24)

nsubj(took-2, It-1)
root(ROOT-0, took-2)
det(men-5, a-3)
num(men-5, hundred-4)
dobj(took-2, men-5)
det(week-8, a-6)
amod(week-8, whole-7)
tmod(took-2, week-8)
aux(do-10, to-9)
vmod(took-2, do-10)
dobj(do-10, this-11)
cc(wound-19, but-13)
advmod(wound-19, at-14)
advmod(at-14, last-15)
nsubj(wound-19, he-16)
cop(wound-19, was-17)
advmod(wound-19, tightly-18)
parataxis(took-2, wound-19)
cc(wound-19, and-21)
det(Scowleyow-25, the-22)
amod(Scowleyow-25, wicked-23)
nn(Scowleyow-25, King-24)
nsubj(stood-26, Scowleyow-25)
conj(wound-19, stood-26)
acomp(stood-26, ready-27)
aux(touch-29, to-28)
xcomp(ready-27, touch-29)
det(spring-31, the-30)
dobj(touch-29, spring-31)
nsubj(made-33, that-32)
rcmod(spring-31, made-33)
nsubj(go-35, him-34)
ccomp(made-33, go-35)

root(ROOT-0, One-2)
num(three-6, two-4)
dep(One-2, three-6)

root(ROOT-0, said-1)
det(King-3, the-2)
dobj(said-1, King-3)
cc(said-1, and-5)
conj(said-1, touched-6)
det(spring-8, the-7)
tmod(touched-6, spring-8)
prep(touched-6, with-9)
poss(ringer-11, his-10)
pobj(with-9, ringer-11)

det(Man-3, The-1)
amod(Man-3, Cast-iron-2)
nsubj(gave-4, Man-3)
root(ROOT-0, gave-4)
advmod(terrible-6, so-5)
iobj(gave-4, terrible-6)
det(roar-8, a-7)
dobj(gave-4, roar-8)
mark(frightened-12, that-9)
nsubj(frightened-12, he-10)
advmod(frightened-12, even-11)
ccomp(gave-4, frightened-12)
det(men-14, the-13)
dobj(frightened-12, men-14)
nsubj(made-17, who-15)
aux(made-17, had-16)
rcmod(men-14, made-17)
dobj(made-17, him-18)
cc(frightened-12, and-20)
advmod(rolled-23, then-21)
nsubj(rolled-23, he-22)
conj(frightened-12, rolled-23)
poss(eyes-25, his-24)
dobj(rolled-23, eyes-25)
mark(flashed-28, till-26)
nsubj(flashed-28, they-27)
advcl(rolled-23, flashed-28)
dobj(flashed-28, fire-29)
cc(flashed-28, and-31)
conj(flashed-28, gnashed-32)
poss(teeth-34, his-33)
dobj(gnashed-32, teeth-34)
mark(sounded-38, till-35)
det(noise-37, the-36)
nsubj(sounded-38, noise-37)
advcl(gnashed-32, sounded-38)
prep(sounded-38, like-39)
pobj(like-39, thunder-40)

det(minute-3, The-1)
amod(minute-3, next-2)
tmod(raised-5, minute-3)
nsubj(raised-5, he-4)
root(ROOT-0, raised-5)
num(foot-8, one-6)
amod(foot-8, great-7)
dobj(raised-5, foot-8)
cc(raised-5, and-9)
conj(raised-5, stepped-10)
advmod(stepped-10, forward-11)
xcomp(stepped-10, crushing-13)
amod(trees-15, fifty-14)
dobj(crushing-13, trees-15)
nsubj(stood-17, that-16)
rcmod(trees-15, stood-17)
prep(stood-17, in-18)
poss(path-20, his-19)
pobj(in-18, path-20)
cc(raised-5, and-22)
advmod(went-26, then-23)
advmod(went-26, away-24)
nsubj(went-26, he-25)
conj(raised-5, went-26)
ccomp(went-26, striding-28)
prt(striding-28, down-29)
det(mountain-31, the-30)
dobj(striding-28, mountain-31)
conj(striding-28, destroying-33)
dobj(destroying-33, everything-34)
nsubj(stood-36, that-35)
rcmod(everything-34, stood-36)
prep(stood-36, in-37)
poss(way-39, his-38)
pobj(in-37, way-39)
cc(striding-28, and-41)
conj(striding-28, nearing-42)
prep(nearing-42, with-43)
det(step-45, every-44)
pobj(with-43, step-45)
det(Valley-48, the-46)
nn(Valley-48, Beautiful-47)
dobj(nearing-42, Valley-48)
prep(Valley-48, of-49)
pobj(of-49, Mo.-50)

det(King-2, The-1)
nsubj(having-7, King-2)
cc(King-2, and-3)
poss(people-5, his-4)
conj(King-2, people-5)
aux(having-7, were-6)
root(ROOT-0, having-7)
det(game-9, a-8)
dobj(having-7, game-9)
prep(game-9, of-10)
pobj(of-10, ball-11)
det(day-13, that-12)
dep(ball-11, day-13)
cc(having-7, and-15)
det(dog-17, the-16)
nsubj(acting-19, dog-17)
aux(acting-19, was-18)
conj(having-7, acting-19)
prep(acting-19, as-20)
pobj(as-20, umpire-21)

advmod(sounded-22, Suddenly-1)
advmod(made-8, just-3)
mark(made-8, as-4)
nn(Jollikin-6, Prince-5)
nsubj(made-8, Jollikin-6)
aux(made-8, had-7)
advcl(sounded-22, made-8)
det(run-11, a-9)
nn(run-11, home-10)
nsubj(applauding-15, run-11)
cc(run-11, and-12)
conj(run-11, everybody-13)
aux(applauding-15, was-14)
ccomp(made-8, applauding-15)
dobj(applauding-15, him-16)
det(noise-21, a-18)
amod(noise-21, terrible-19)
nn(noise-21, roaring-20)
nsubj(sounded-22, noise-21)
root(ROOT-0, sounded-22)
prep(sounded-22, in-23)
poss(ears-25, their-24)
pobj(in-23, ears-25)
cc(sounded-22, and-27)
nsubj(heard-29, they-28)
conj(sounded-22, heard-29)
det(crashing-32, a-30)
amod(crashing-32, great-31)
dobj(heard-29, crashing-32)
prep(crashing-32, of-33)
pobj(of-33, trees-34)
prep(trees-34, on-35)
det(side-38, the-36)
nn(side-38, mountain-37)
pobj(on-35, side-38)
cc(heard-29, and-39)
conj(heard-29, saw-40)
det(man-43, a-41)
amod(man-43, monstrous-42)
dobj(saw-40, man-43)
xcomp(saw-40, approaching-44)
det(Valley-46, the-45)
dobj(approaching-44, Valley-46)

det(people-2, The-1)
nsubj(frightened-5, people-2)
cop(frightened-5, were-3)
advmod(frightened-5, so-4)
root(ROOT-0, frightened-5)
nsubj(stood-7, they-6)
ccomp(frightened-5, stood-7)
advmod(stood-7, perfectly-8)
advmod(stood-7, still-9)
cop(unable-12, being-11)
xcomp(stood-7, unable-12)
aux(move-14, to-13)
xcomp(unable-12, move-14)
prep(move-14, through-15)
pobj(through-15, surprise-16)
cc(surprise-16, and-17)
conj(surprise-16, terror-18)
cc(frightened-5, but-20)
det(dog-22, the-21)
nsubj(ran-23, dog-22)
conj(frightened-5, ran-23)
prep(ran-23, with-24)
predet(might-27, all-25)
poss(might-27, his-26)
pobj(with-24, might-27)
prep(ran-23, toward-28)
det(mountain-30, the-29)
pobj(toward-28, mountain-30)
aux(see-32, to-31)
xcomp(ran-23, see-32)
nsubj(matter-36, what-33)
cop(matter-36, was-34)
det(matter-36, the-35)
ccomp(see-32, matter-36)

advmod(reached-5, Just-1)
mark(reached-5, as-2)
det(dog-4, the-3)
nsubj(reached-5, dog-4)
advcl(came-14, reached-5)
det(foot-7, the-6)
dobj(reached-5, foot-7)
prep(foot-7, of-8)
det(mountain-10, the-9)
pobj(of-8, mountain-10)
det(Man-13, the-11)
amod(Man-13, Cast-iron-12)
nsubj(came-14, Man-13)
root(ROOT-0, came-14)
xcomp(came-14, tramping-15)
prt(tramping-15, along-16)
cc(came-14, and-17)
conj(came-14, stepped-18)
prep(stepped-18, into-19)
det(Valley-21, the-20)
pobj(into-19, Valley-21)
advmod(ruined-25, where-23)
nsubj(ruined-25, he-24)
rcmod(Valley-21, ruined-25)
prep(ruined-25, in-26)
num(instant-28, one-27)
pobj(in-26, instant-28)
det(bed-31, a-29)
amod(bed-31, large-30)
dobj(ruined-25, bed-31)
prep(bed-31, of-32)
pobj(of-32, lady-fingers-33)
cc(bed-31, and-34)
det(patch-37, a-35)
amod(patch-37, whole-36)
conj(bed-31, patch-37)
prep(patch-37, of-38)
amod(pies-41, ripe-39)
nn(pies-41, pumpkin-40)
pobj(of-38, pies-41)

advmod(destroyed-10, Indeed-1)
det(Valley-5, the-3)
amod(Valley-5, entire-4)
nsubjpass(destroyed-10, Valley-5)
aux(destroyed-10, would-6)
advmod(destroyed-10, soon-7)
aux(destroyed-10, have-8)
auxpass(destroyed-10, been-9)
root(ROOT-0, destroyed-10)
dep(destroyed-10, had-11)
neg(Man-15, not-12)
det(Man-15, the-13)
amod(Man-15, Cast-iron-14)
dobj(had-11, Man-15)
dep(Man-15, stubbed-16)
poss(toe-18, his-17)
dobj(stubbed-16, toe-18)
prep(stubbed-16, against-19)
det(dog-21, the-20)
pobj(against-19, dog-21)
cc(stubbed-16, and-22)
conj(stubbed-16, fallen-23)
acomp(fallen-23, flat-24)
prep(fallen-23, on-25)
poss(face-27, his-26)
pobj(on-25, face-27)
advmod(lay-31, where-29)
nsubj(lay-31, he-30)
advcl(had-11, lay-31)
xcomp(lay-31, roaring-32)
cc(roaring-32, and-33)
conj(roaring-32, gnashing-34)
poss(teeth-36, his-35)
dobj(roaring-32, teeth-36)
cc(lay-31, but-38)
conj(lay-31, unable-39)
aux(do-41, to-40)
xcomp(unable-39, do-41)
det(harm-44, any-42)
amod(harm-44, further-43)
dobj(do-41, harm-44)

advmod(recovered-7, Presently-1)
det(King-3, the-2)
nsubj(recovered-7, King-3)
cc(King-3, and-4)
poss(people-6, his-5)
conj(King-3, people-6)
root(ROOT-0, recovered-7)
prep(recovered-7, from-8)
poss(fright-10, their-9)
pobj(from-8, fright-10)
cc(recovered-7, and-11)
conj(recovered-7, gathered-12)
prt(gathered-12, around-13)
poss(foe-16, their-14)
amod(foe-16, prostrate-15)
dobj(gathered-12, foe-16)
vmod(recovered-7, marveling-18)
prep(marveling-18, at-19)
poss(size-22, his-20)
amod(size-22, great-21)
pobj(at-19, size-22)
cc(size-22, and-23)
conj(size-22, strength-24)

aux(tripped-5, Had-2)
nsubj(tripped-5, you-3)
dep(tripped-5, not-4)
dep(said-10, tripped-5)
dobj(tripped-5, him-6)
prt(tripped-5, up-7)
root(ROOT-0, said-10)
det(King-12, the-11)
dobj(said-10, King-12)
prep(said-10, to-13)
det(dog-15, the-14)
nsubj(said-10, dog-15)
det(giant-19, this-18)
nsubj(destroyed-23, giant-19)
aux(destroyed-23, would-20)
advmod(destroyed-23, certainly-21)
aux(destroyed-23, have-22)
dep(dog-15, destroyed-23)
poss(kingdom-25, my-24)
dobj(destroyed-23, kingdom-25)

dobj(suppose-4, Who-1)
aux(suppose-4, do-2)
nsubj(suppose-4, you-3)
root(ROOT-0, suppose-4)
cop(wicked-7, was-5)
advmod(wicked-7, so-6)
ccomp(suppose-4, wicked-7)
mark(send-10, as-8)
aux(send-10, to-9)
dep(wicked-7, send-10)
det(monster-12, this-11)
dobj(send-10, monster-12)
